0.094977	-0.086447	0.029428
0.203442	0.069254	0.017136
0.166865	0.034646	-0.014599
0.088422	-0.046017	0.062675
0.122240	0.019253	0.024386
0.114066	-0.118772	0.129102
0.039685	-0.196560	0.075260
0.148647	0.046904	0.037553
0.302655	0.066331	-0.025935
0.163014	0.014843	0.212518
0.178778	-0.035998	0.035005
0.184962	0.023294	-0.118794
0.144912	-0.010138	0.043016
0.199705	0.089298	-0.006474
0.177959	0.019900	-0.005326
0.127827	0.056559	0.025844
0.286492	0.040626	0.037813
-0.087061	-0.168491	-0.053758
0.087696	-0.007061	0.055774
0.216018	-0.055684	-0.029911
0.147970	-0.045259	-0.002423
0.080709	-0.167119	-0.034466
0.166109	-0.080979	0.138710
0.131938	-0.142428	-0.012005
0.053425	-0.081373	-0.076001
0.125487	-0.130614	0.026146
0.104349	-0.143097	-0.074232
0.128803	-0.123928	0.057043
0.086355	-0.203118	-0.101649
0.196612	0.004285	0.117566
0.187801	-0.088452	-0.269647
0.231174	-0.064924	-0.179256
0.303429	0.057527	-0.123003
0.268035	0.098725	-0.034689
0.278093	-0.043265	-0.201514
0.228722	0.037024	-0.066225
0.084202	0.007195	-0.106889
0.378887	0.145894	-0.152873
0.302421	0.127627	-0.125983
0.326917	0.118295	-0.110201
0.212701	0.102313	-0.077665
0.279954	0.119238	-0.148770
0.353985	0.056243	-0.217696
0.288829	0.055464	-0.096440
0.262401	0.035490	-0.211444
0.244590	0.105441	-0.121482
0.345305	0.104254	-0.121410
0.211264	0.120120	-0.092826
0.334183	0.093420	-0.128780
0.184597	0.111531	-0.036709
0.353136	-0.010333	-0.103154
0.319532	0.000759	-0.138463
0.339351	0.060620	-0.177764
0.143705	0.093317	0.016384
0.283098	0.104687	-0.159878
0.388595	0.095619	-0.124927
0.356353	0.121171	-0.037137
0.372551	0.060261	-0.162509
0.372463	0.172748	-0.077218
0.277313	0.121068	-0.118131
-0.269176	0.248847	0.094951
-0.279789	0.355079	0.105379
-0.189230	0.384076	-0.044796
-0.274602	0.379216	0.023839
-0.154668	0.163014	0.006020
-0.051982	0.103978	0.030462
-0.240606	0.320081	0.032672
-0.258987	0.226437	-0.069941
-0.284626	0.057606	-0.165493
-0.214188	0.396774	0.053949
-0.203579	0.342753	0.106421
-0.238417	0.255346	0.070696
-0.108467	0.243933	-0.026769
-0.230473	0.250126	0.086446
-0.213827	0.328231	0.074105
-0.209422	0.381319	0.044812
-0.226609	0.308997	-0.044911
-0.263104	0.298051	0.070767
-0.254933	0.382235	-0.004520
-0.274700	0.221297	0.122104
-0.214319	0.291167	0.033928
-0.140212	0.272910	0.042523
-0.216808	0.282996	0.066908
-0.036048	0.279242	0.041511
-0.153741	0.282313	0.031780
-0.194447	0.375293	0.041640
-0.174058	0.373329	-0.005166
-0.125123	0.233342	-0.060903
-0.254329	0.376512	0.041118
-0.225868	0.347844	-0.027021
0.041756	-0.067495	0.362238
-0.019686	-0.324730	0.370913
0.047438	-0.120685	0.318292
0.033399	-0.093616	0.394904
-0.068455	-0.122391	0.384289
-0.005371	-0.023798	0.204078
-0.103103	-0.021309	0.182595
-0.066572	-0.005690	0.308473
-0.138396	-0.010310	0.275970
-0.060618	-0.024382	0.140632
0.083654	-0.130551	0.420348
-0.039003	-0.294067	0.376830
-0.030445	-0.325447	0.277121
-0.016681	0.059541	0.072530
-0.077816	-0.209403	0.436661
0.073335	-0.084596	0.225437
0.060558	-0.024463	0.352869
-0.021485	0.145114	0.212033
0.054979	-0.116935	0.111133
0.054215	-0.146761	0.448212
-0.046635	-0.382410	0.233494
-0.064598	-0.195744	0.214953
-0.032916	-0.297324	0.280051
0.102658	-0.057472	0.273345
-0.092684	-0.260845	0.385248
0.075700	-0.156698	0.122036
0.167233	0.025123	0.093005
-0.030990	-0.344092	0.335763
-0.055887	-0.322332	0.159315
-0.107238	-0.336094	0.111157
-0.315263	-0.259437	-0.318222
-0.180029	-0.091332	-0.031243
-0.188130	-0.225582	-0.275426
-0.256628	-0.202910	-0.230933
-0.179571	-0.259206	-0.283793
-0.175078	-0.078687	-0.181586
-0.071442	-0.086897	-0.043482
-0.220951	0.021139	-0.090168
-0.306924	-0.288598	-0.317264
-0.262597	-0.202313	-0.144447
-0.183793	-0.200388	-0.196156
-0.176614	-0.220274	-0.231257
-0.204421	-0.293818	-0.301372
-0.226839	-0.246512	-0.170674
-0.106176	0.047142	-0.024007
-0.249183	-0.135057	-0.049477
-0.217229	-0.323402	-0.257337
-0.140244	0.021268	-0.246332
-0.169529	-0.256148	-0.258835
-0.087612	-0.257746	-0.265570
-0.160598	-0.189985	-0.026916
-0.270857	0.001196	-0.132228
-0.280523	-0.030406	-0.114845
-0.217217	-0.212078	-0.198275
-0.226615	-0.299921	-0.166643
-0.205102	-0.254283	-0.230285
-0.216806	0.028563	-0.195060
-0.296891	-0.286895	-0.250996
-0.205486	-0.300662	-0.239008
-0.238310	-0.170434	-0.247707
